:[-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000]
:[-0.000000,0.000000,-0.000071,0.000144,-0.000073,0.000000,-0.000000,0.000000,-0.000071,0.000144,-0.000073,0.000000]
:[-0.000000,0.000000,-0.000201,0.000407,-0.000206,0.000000,-0.000000,0.000000,-0.000201,0.000407,-0.000206,0.000000]
:[-0.000000,0.000000,-0.000368,0.000747,-0.000378,0.000000,-0.000000,0.000000,-0.000368,0.000747,-0.000378,0.000000]
:[-0.000000,0.000000,-0.000566,0.001148,-0.000582,0.000000,-0.000000,0.000000,-0.000566,0.001148,-0.000582,0.000000]
:[-0.000000,0.000000,-0.000790,0.001603,-0.000812,0.000000,-0.000000,0.000000,-0.000790,0.001603,-0.000812,0.000000]
:[-0.000000,0.000000,-0.001038,0.002104,-0.001066,0.000000,-0.000000,0.000000,-0.001038,0.002104,-0.001066,0.000000]
:[-0.000000,0.000000,-0.001306,0.002648,-0.001342,0.000000,-0.000000,0.000000,-0.001306,0.002648,-0.001342,0.000000]
:[-0.000000,0.000000,-0.001593,0.003231,-0.001638,0.000000,-0.000000,0.000000,-0.001593,0.003231,-0.001638,0.000000]
:[-0.000000,0.000000,-0.001899,0.003851,-0.001952,0.000000,-0.000000,0.000000,-0.001899,0.003851,-0.001952,0.000000]
:[-0.000000,0.000000,-0.002221,0.004504,-0.002283,0.000000,-0.000000,0.000000,-0.002221,0.004504,-0.002283,0.000000]
:[-0.000000,0.000000,-0.002559,0.005190,-0.002631,0.000000,-0.000000,0.000000,-0.002559,0.005190,-0.002631,0.000000]
:[-0.000000,0.000000,-0.002913,0.005906,-0.002994,0.000000,-0.000000,0.000000,-0.002913,0.005906,-0.002994,0.000000]
:[-0.000000,0.000000,-0.003280,0.006651,-0.003371,0.000000,-0.000000,0.000000,-0.003280,0.006651,-0.003371,0.000000]
:[-0.000000,0.000000,-0.003661,0.007424,-0.003763,0.000000,-0.000000,0.000000,-0.003661,0.007424,-0.003763,0.000000]
:[-0.000000,0.000000,-0.004055,0.008223,-0.004168,0.000000,-0.000000,0.000000,-0.004055,0.008223,-0.004168,0.000000]
:[-0.000000,0.000000,-0.004462,0.009047,-0.004585,0.000000,-0.000000,0.000000,-0.004462,0.009047,-0.004585,0.000000]
:[-0.000000,0.000000,-0.004880,0.009896,-0.005016,0.000000,-0.000000,0.000000,-0.004880,0.009896,-0.005016,0.000000]
:[-0.000000,0.000000,-0.005310,0.010768,-0.005458,0.000000,-0.000000,0.000000,-0.005310,0.010768,-0.005458,0.000000]
:[-0.000000,0.000000,-0.005751,0.011662,-0.005911,0.000000,-0.000000,0.000000,-0.005751,0.011662,-0.005911,0.000000]
:[-0.000000,0.000000,-0.006203,0.012579,-0.006376,0.000000,-0.000000,0.000000,-0.006203,0.012579,-0.006376,0.000000]
:[-0.000000,0.000000,-0.006666,0.013517,-0.006851,0.000000,-0.000000,0.000000,-0.006666,0.013517,-0.006851,0.000000]
:[-0.000000,0.000000,-0.007138,0.014475,-0.007337,0.000000,-0.000000,0.000000,-0.007138,0.014475,-0.007337,0.000000]
